,Random_drop_index,Datetime,Tweet Id,Text,Username,Humour
0,356,2022-02-13 08:13:35+00:00,1.4927739343660728e+18,నేడు విశాఖలో జైల్‌భరోhttps://t.co/Q6CdSvhoiV#JailBaro #Visakhapatnam #protection #Andhrapradesh #hmtvnews #hmtvlivenews #todaynews #todaylivenews #latestnews #livenews #news #tvnews,hmtvnewslive,0
1,524,2022-02-10 13:30:07+00:00,1.491766430916018e+18,BIG NEWS: ఏపీలో కొత్త జిల్లాలపై సీఎం జగన్ కీలక ఆదేశాలు.. ఆ రోజు నుంచే.. #news #dailyhunt https://t.co/mlluIriwKd,DH_Telugu,0
2,395,2022-02-12 12:18:34+00:00,1.4924731996571238e+18,Rahul Bajaj: దిగ్గజ వ్యాపారవేత్త రాహుల్‌ బజాజ్‌ కన్నుమూతhttps://t.co/EzX6LrwJ9r#RahulBajaj #BajajGroup #Industrialist #BajajTwoWheeler #BajajThreeWheeler #hmtvnews #hmtvlivenews #todaynews #todaylivenews #latestnews #livenews #news #tvnews,hmtvnewslive,0
3,1074,2018-11-01 15:51:26+00:00,1.0580237176604876e+18,పుట్టినరోజు శుభాకాంక్షలు @Ileana_Official#tollywoodactress #hot #funny #memes #telugu #hyderabad #telengana #birthday #happybirthday #girls #november #IleanaDCruz https://t.co/ZbCgegQo6o,CoconutComedy,0
4,1236,2018-02-17 06:45:00+00:00,9.647525248373105e+17,అన్నిటికంటే 6 వ ది హైలైట్..!#Funny: 😛 😛 😛 https://t.co/uiKN2aPJ26,fbtelugupeople,0
5,1411,2017-03-08 16:09:03+00:00,8.395082678606397e+17,"ఎంత రాత్రయినా నీ భార్య నీకోసం ఎదురు చూస్తోందా?, https://t.co/ZFhoDhOhVd, #jokes, #funnyjokes, #humor",WebduniaTelugu,0
6,1571,2016-05-11 12:04:17+00:00,7.303679250648513e+17,శిశుపాలుని చదువు!#Satire #TelanganaSchoolshttps://t.co/qy8R845MFp,Telanganain,0
7,519,2022-02-10 17:01:42+00:00,1.4918196764557391e+18,YS Jagan: ‘థ్యాంక్యూ సీఎం’ అంటూ స్టార్ల ట్వీట్‌లు.. ట్రెండింగ్‌లో హ్యాష్‌ట్యాగ్‌లు!#CinemaNews #YSJagan #tweets #TeluguNews #politics https://t.co/K3lzCiHJU9,eenadulivenews,0
8,313,2022-02-14 05:37:00+00:00,1.493096918867718e+18,WhatsApp లో కొత్త ఫీచర్ ! Facebook లో ఈ ఫీచర్ ఎప్పటినుంచో ఉంది. వివరాలు చూడండి. #news #apps #whatsapp #facebook #న్యూస్ #యాప్స్ #వాట్సాప్ https://t.co/Z0pt5pcqid,GizbotTelugu,0
9,989,2019-03-23 18:09:07+00:00,1.109517445042262e+18,@OnlyTRS @ncbn ఒక దిక్కు #fun ఇంకో దిక్కు #frustration 🤣 #F2 movie,PraneethVeni,0
10,353,2021-01-29 13:12:32+00:00,1.3551417809671004e+18,పంచాయితి ఎన్నికలకు చంద్రబాబు మ్యానిఫెస్టో విడుదలపై రహస్యం ఇదేనా ?#indiaheraldcards#SatireView More :https://t.co/v62c93cOgw https://t.co/tjbtr7pvgF,realindiaherald,0
11,385,2022-02-12 14:40:12+00:00,1.4925088428353864e+18,వీడియో: వారెవ్వా ఏం ఐడియా గురూ.. చిప్స్ ప్యాకెట్ల తో చీర... నెట్టింట వైరలవుతున్న దృశ్యాలు.!! #news #dailyhunt https://t.co/WZ3Iw1cfqr,DH_Telugu,0
12,508,2022-02-11 03:35:13+00:00,1.491979109056258e+18,జనగామలో సీఎం పర్యటనhttps://t.co/mdKcPPFR11#Janagama #CMKCR #CollectarateComplex #Telangana #news #tvnews #hmtvnews #livenews #todaynews #todaylivenews #breakingnews #hmtvlivenews,hmtvnewslive,0
13,673,2022-02-08 04:12:05+00:00,1.490901222374531e+18,కొత్త జిల్లాలపై నిరసన సెగలుhttps://t.co/92xinvA04d#Kadapa #Rajampet #AkhilaPaksham #AndhraPradesh#news #hmtvnews #tvnews #breakingnews #todaynews #livenews #latestnews #hmtvlivenews,hmtvnewslive,0
14,754,2022-02-07 02:24:31+00:00,1.4905117643577262e+18,CM KCR: నేడు యాదాద్రికి సీఎం కేసీఆర్https://t.co/ESwTewt5Xa#kcr #yadadri  #TelanganaCM #telangana #hmtv #hmtvnews #news #hmtvnewslive #TeluguNews,hmtvnewslive,0
15,441,2018-08-17 10:11:59+00:00,1.0303968154875535e+18,విద్య ' కోసం టీచర్ https://t.co/IyogWPCgKr#Telugufunnyjokes #Funnyjokesintelugu #Telugujokes #Telugucomedy #Telugufunnyconversation #Funnyteluguconversation,AbdulKh94881514,0
16,965,2019-06-17 11:31:33+00:00,1.1405827499730124e+18,*గోడ కనబడితే చాలా ..?* #fun #telugufun https://t.co/H8hbr2OXOu,chinny1982,0
17,531,2022-02-10 10:11:52+00:00,1.491716541075067e+18,BIG NEWS: సీఎం జగన్‌తో టాలీవుడ్ స్టార్ల భేటీ.. వారి ముందు 14 డిమాండ్స్ ఇవే.. #news #dailyhunt https://t.co/dR7lRUPWt9,DH_Telugu,0
18,1434,2017-01-23 07:47:19+00:00,8.234369398523329e+17,మా ఆవిడ వచ్చే టైమైంది వెళ్లు సుజీ#Humour #jokes #wife #Sujatha https://t.co/BscVWEmL7D https://t.co/uav1Ozsm5g,WebduniaTelugu,0
19,927,2022-02-04 10:15:28+00:00,1.4895431181775667e+18,యూపీ సీఎం యోగీ ఆదిత్యనాథ్‌ గోరఖ్‌పుర్‌ నుంచి నామినేషన్‌ దాఖలు చేశారు. ఆ సమయంలో యోగీతో పాటు కేంద్ర హోంశాఖ మంత్రి అమిత్‌షా కూడా ఉన్నారు.https://t.co/3U43xRE6Oo#Nationalnews #Politics #yogiadityanath #BJP #Telugunews #UPElections https://t.co/BsAUnTxBD3,eenadulivenews,0
20,917,2022-02-04 11:18:06+00:00,1.489558880350728e+18,టెలిగ్రామ్‌లో ట్రాన్సలేషన్ ఫీచర్‌తో మీకు నచ్చిన భాషలో మెసేజ్లను పంపడం ఎలా? #news #technology #app #న్యూస్ #టెక్నాలజీ #యాప్ https://t.co/PYJKvXzwQB,oneindiatelugu,0
21,384,2022-02-12 14:51:15+00:00,1.492511624875643e+18,మార్చ్ 15 నాటికి కొత్త జిల్లాల నోటిఫికేషన్! https://t.co/zjfPTAMtQI #NewDistricts #Ugadi #YSJaganmohanReddy #Telugu #news #Newsfile #AndhraPradesh #Telangana,NijamToday,0
22,258,2022-02-15 02:57:59+00:00,1.4934192898727772e+18,రాష్ట్రపతి విశాఖ పర్యటన షెడ్యూల్‌ ఖరారుhttps://t.co/gijfjHiUHV#VisakhaPatnam #RamNathKovind #PresidentofIndia #AndhraPradesh #news #hmtvnews #tvnews #onlinenews #todaynews #breakingnews #todaylivenews #livenews #hmtvlivenews,hmtvnewslive,0
